Name,Gender,DOB,Salary,Purchased
Jason,Female,1970-01-26,33795.72,No
Caitlin,Female,1965-10-07,51209.95,Yes
David,Male,1989-02-25,125848.58,Yes
Daniel,Female,1973-06-02,114110.59,Yes
Sheila,Male,1967-02-25,48723.43,No
Kevin,Female,1986-12-10,45294.87,Yes
William,Female,1972-01-10,48126.64,No
Katelyn,Male,1975-12-28,67088.82,Yes
Melissa,Female,1996-10-25,116145.1,Yes
Stephanie,Female,1997-11-09,111970.16,Yes
Shannon,Female,1995-03-31,55895.62,Yes
Nathaniel,Male,1996-02-14,51225.14,Yes
Allison,Male,1986-09-27,77408.24,Yes
Justin,Female,2003-11-28,116564.77,No
James,Male,2005-06-24,135332.18,No
Paul,Male,1991-08-20,87108.94,Yes
Christy,Male,1984-12-17,80344.15,Yes
Benjamin,Female,1972-04-21,69774.54,Yes
Robin,Male,2005-03-06,78642.66,Yes
Oscar,Female,1979-09-02,70448.95,No
Nicole,Male,1986-02-23,49798.16,Yes
Gina,Male,1999-06-30,112704.67,Yes
Lisa,Female,1979-06-11,137689.17,No
Adam,Female,2003-03-08,144369.14,Yes
Mary,Male,1994-07-25,119076.25,No
Jeffrey,Female,1983-04-07,149687.47,Yes
Andrea,Female,1964-11-07,83111.36,No
Patrick,Male,1966-01-04,104473.43,No
Jamie,Female,1981-12-25,72208.3,No
Kristin,Male,1990-08-12,110114.99,No
Christian,Male,1960-12-21,147214.17,No
Lori,Female,1971-11-05,71924.52,No
Jeffrey,Male,1968-12-25,86305.65,Yes
David,Male,1965-10-12,63079.52,No
Sean,Male,1962-09-27,121883.18,Yes
Michelle,Female,1962-10-19,149277.07,Yes
Joe,Female,1995-08-27,38470.07,Yes
John,Male,2002-11-29,78630.26,Yes
Kathleen,Female,2000-05-16,138517.17,No
Austin,Male,1960-03-31,145664.33,Yes
Kimberly,Female,1971-06-12,85822.5,Yes
Matthew,Female,1971-02-16,56532.94,No
Mark,Female,1968-11-02,68294.84,No
Laura,Male,1981-08-30,80410.1,No
James,Male,1993-09-26,102344.64,No
Judith,Female,2007-06-14,71891.39,Yes
Heather,Female,1976-11-03,76444.69,No
Cory,Male,1987-12-30,134291.44,No
Tara,Male,1963-10-26,53276.87,No
Heather,Female,1982-06-02,42304.32,No
Mark,Male,2000-09-28,71463.55,No
Michael,Female,1960-03-28,133581.62,No
Samuel,Male,1972-04-26,105609.85,No
Pamela,Female,1968-07-03,44348.46,Yes
Tracy,Female,1996-02-02,64640.89,No
Stephen,Male,1994-02-23,126512.39,Yes
Aaron,Male,2000-03-06,113865.21,Yes
Paula,Male,1981-01-25,94847.38,Yes
Hailey,Male,1995-07-23,80576.02,Yes
Samantha,Male,1976-12-11,128585.1,No
Angela,Female,1997-07-11,71083.81,No
Jerry,Male,1974-09-24,61257.72,No
Jaclyn,Female,2004-03-07,30473.36,Yes
Latoya,Male,2005-11-10,56954.77,Yes
Emily,Male,1999-10-26,108479.64,No
Daniel,Female,2004-05-10,65011.04,Yes
Linda,Female,1990-05-14,69267.09,Yes
James,Male,2005-09-10,98423.92,No
Ashley,Female,1978-06-15,59564.07,No
Lance,Male,2004-02-02,112184.7,No
Melanie,Male,1977-10-26,64622.98,No
Danielle,Male,1975-10-18,121911.43,No
Jason,Female,1988-11-06,149573.7,Yes
Dennis,Female,1970-06-04,31446.63,Yes
Matthew,Male,1999-07-05,62563.73,No
Andrew,Male,1977-01-06,33940.1,No
Sarah,Male,1961-03-28,122908.75,No
Donald,Male,1963-06-11,101523.91,Yes
Joshua,Female,1989-04-16,102039.27,Yes
Jeremy,Male,1983-01-06,129509.14,No
Joanna,Male,1983-07-20,121615.57,Yes
John,Female,1999-10-23,72088.38,No
Lisa,Female,2003-02-13,134550.25,Yes
Jane,Male,1967-04-24,67549.58,No
Christopher,Female,1978-08-23,104092.55,Yes
Pamela,Male,1995-07-13,119776.48,No
William,Male,1960-07-10,85441.35,No
Daniel,Female,1976-08-03,64284.5,No
Alyssa,Male,1995-04-19,139162.34,No
Heidi,Female,1982-05-28,75533.83,Yes
Alicia,Male,1983-08-16,63371.02,Yes
Steven,Male,1967-03-29,111963.08,Yes
Regina,Female,1986-06-26,46262.79,No
Mark,Female,1959-10-16,102418.94,Yes
Wendy,Female,1994-12-20,59689.44,Yes
Samuel,Male,1997-07-08,134133.35,No
Sarah,Male,1970-05-28,101949.89,Yes
Jason,Male,1996-09-05,136110.75,No
Taylor,Male,1972-11-06,32308.35,No
Jennifer,Female,1968-10-23,31235.83,No
Jesse,Female,1982-07-15,79167.87,No
Jared,Female,2003-09-17,112446.06,Yes
Marc,Male,1983-03-15,108274.46,No
Jackson,Female,1964-12-03,105490.43,Yes
Deanna,Female,1987-05-29,49198.17,Yes
Nathan,Female,1994-06-17,84855.37,No
Karen,Female,1970-02-25,32435.11,No
Laurie,Male,1970-06-12,80119.66,Yes
Andrew,Male,1987-11-03,102761.44,Yes
Keith,Female,1989-11-17,49351.77,Yes
Karen,Male,2003-07-16,69140.31,No
Vanessa,Female,1966-04-22,91771.53,No
James,Male,1972-02-05,110867.74,Yes
Gail,Male,1987-08-21,144029.18,Yes
Juan,Female,1992-09-15,105580.64,Yes
Gary,Female,2005-10-30,113048.62,No
Nancy,Female,1980-03-14,55662.33,No
Jeremy,Female,1987-06-26,60549.63,Yes
Michael,Male,1965-03-21,130955.72,No
Christopher,Female,2002-08-29,129340.05,Yes
Dawn,Male,1974-07-21,68135.96,No
James,Female,1988-12-17,91428.77,Yes
Thomas,Male,2003-07-09,102967.52,No
Kristina,Female,2004-12-01,72963.43,No
Sarah,Male,1982-05-29,37573.44,Yes
Chris,Male,1960-05-31,36994.2,Yes
Melissa,Female,1968-04-25,67719.97,Yes
Kristine,Female,1984-03-23,80677.24,No
Jamie,Male,1997-03-16,64194.45,No
Nathaniel,Female,1965-05-30,47764.61,No
Eric,Female,1959-09-11,101399.4,No
Kimberly,Male,1964-06-28,45076.89,Yes
Kristin,Female,2003-08-12,32913.48,No
Christine,Female,1991-08-03,143137.55,No
Natasha,Female,1962-03-25,76987.5,No
Kathryn,Female,1976-07-16,137704.83,No
Jodi,Female,1965-04-08,118035.49,No
Kenneth,Female,1982-08-13,86450.25,Yes
Ashley,Male,1972-01-28,47511.59,No
James,Male,2001-10-05,98771.48,No
Brett,Female,1991-12-05,41564.53,No
Timothy,Female,1973-08-07,72890.03,No
Diane,Male,1985-09-06,140391.16,No
Dorothy,Female,1962-08-08,148686.86,Yes
Holly,Female,2002-04-05,40013.31,Yes
Curtis,Male,2005-01-19,56563.95,No
Catherine,Female,2005-09-23,94077.02,Yes
Michelle,Female,1993-12-28,149858.56,Yes
Bruce,Male,1982-11-27,59455.95,No
Laura,Female,1979-05-10,111926.26,Yes
Scott,Female,1977-06-16,121895.55,No
Steven,Female,1986-05-19,95113.68,Yes
Kathy,Female,1991-06-05,101240.41,Yes
Angelica,Female,2007-04-08,126657.29,No
Sarah,Male,1984-06-11,121881.78,No
Morgan,Female,1972-07-09,32307.28,No
Steven,Male,1982-09-19,112194.72,No
Dominique,Male,1989-03-28,127796.82,No
Alex,Female,2000-04-17,143258.27,Yes
Travis,Female,1988-07-19,138710.26,No
Bradley,Male,1987-07-15,114566.02,Yes
Tara,Male,2007-03-27,107371.63,Yes
Margaret,Female,1993-09-06,119516.02,No
Joseph,Male,1997-04-11,136277.75,No
Joshua,Male,2003-10-07,57215.91,Yes
Jessica,Male,1970-01-04,104278.98,Yes
Barbara,Male,1971-10-17,70106.26,Yes
Vanessa,Male,2005-07-20,145978.1,No
Troy,Male,1975-03-07,68753.01,No
Nicole,Female,1963-05-17,139478.52,Yes
Tony,Male,2002-03-25,83321.72,Yes
Matthew,Female,1983-10-03,112965.11,No
Veronica,Female,1987-06-18,144545.39,Yes
Bruce,Male,1985-02-27,32393.91,Yes
Ronald,Female,1983-04-19,50201.63,Yes
Dawn,Female,1990-11-01,141120.64,No
Alicia,Female,1989-05-21,115145.54,Yes
Karen,Male,1967-07-07,99818.53,No
Amy,Male,2005-02-04,99614.82,No
Melinda,Male,1977-04-25,142119.8,No
Norman,Male,1997-09-26,147764.76,Yes
Lawrence,Female,1978-12-06,38917.69,No
Jordan,Male,1988-12-08,,No
Ashley,Male,1975-11-21,90313.34,No
Ryan,Female,1987-03-13,95229.11,No
Amanda,Male,1985-10-28,124982.08,Yes
Michael,Male,1973-11-13,67915.19,No
Amy,Male,1985-08-04,144983.66,Yes
Shawna,Female,1988-01-14,37908.5,Yes
Barbara,Male,1964-05-14,131033.65,Yes
Ryan,Female,1964-03-19,58329.83,No
Michael,Female,2006-06-09,86571.16,No
Christina,Female,1985-06-01,99231.02,Yes
Jack,Female,1962-08-19,51814.79,No
Juan,Female,1997-03-12,107975.31,Yes
Matthew,Male,2006-12-01,67705.71,No
Andrew,Female,2005-01-15,111006.15,Yes
Alexis,Female,1964-06-18,43882.14,No
Lori,Female,1987-03-14,67051.1,No
Courtney,Male,1982-01-01,61861.21,No
Benjamin,Female,1999-04-27,41942.15,Yes
Daniel,Female,1993-04-27,90552.38,No
John,Male,1975-01-01,72977.84,Yes
Brent,Female,1961-07-02,79989.19,No
Kenneth,Female,1982-10-16,67471.94,Yes
Caroline,Male,1977-10-05,35620.14,Yes
Sharon,Female,1968-08-31,103546.23,No
Timothy,Male,1966-12-17,104883.12,Yes
Michael,Female,2003-03-03,61179.12,No
April,Female,1996-09-25,136726.25,No
Stacey,Female,1989-03-26,103586.45,Yes
Charles,Male,1986-08-17,147139.04,Yes
Amy,Male,1988-02-13,89037.65,Yes
Lindsey,Male,1987-03-17,94851.8,Yes
Brandon,Male,1985-09-30,109107.28,No
Kimberly,Female,1971-04-03,122642.8,No
Keith,Male,1990-03-19,30125.29,No
Daniel,Male,1987-10-05,31165.24,Yes
Cathy,Male,1983-05-17,50049.48,Yes
Christopher,Female,1974-12-29,122935.58,Yes
Connor,Female,1971-10-21,95420.77,No
Matthew,Female,1990-05-03,48426.79,No
Christopher,Female,1994-04-16,106719.02,Yes
Grace,Female,1970-03-30,84122.07,Yes
Edward,Male,1976-02-27,91678.76,No
Ronald,Male,2006-10-08,111428.34,Yes
Alexander,Female,1979-03-20,118996.12,No
Jimmy,Female,2003-11-28,76398.81,No
Kimberly,Male,1988-08-13,32578.25,Yes
Edward,Female,1993-02-11,84432.19,Yes
Patricia,Female,1965-02-19,79142.9,No
Cheryl,Male,1979-01-20,82867.39,Yes
Amanda,Female,1976-09-09,52602.0,Yes
Melissa,Female,1977-08-18,105235.8,No
Crystal,Female,2007-03-03,145816.66,Yes
Andrea,Female,1996-05-26,98721.57,Yes
Martin,Male,1961-06-13,60392.69,No
Nancy,Female,2005-10-31,102954.73,No
Jamie,Male,2001-07-15,66682.53,Yes
Leah,Female,1999-03-01,139912.21,Yes
Jennifer,Female,1990-09-11,122006.73,Yes
Kevin,Female,1984-09-14,50411.41,Yes
Kelsey,Male,1963-10-22,78745.73,Yes
Nathaniel,Female,1989-10-30,104538.08,No
Christine,Female,2001-09-02,144920.39,No
Crystal,Female,1990-04-19,88284.71,No
Jennifer,Male,1981-04-04,126430.0,Yes
Jeffrey,Female,1993-05-07,35094.01,No
Theresa,Male,2007-05-31,38986.84,Yes
Christina,Male,2001-05-17,132168.91,No
Leonard,Female,1980-08-03,44040.23,No
Stephanie,Male,1994-02-18,91810.86,No
Justin,Male,1989-04-13,56994.95,Yes
Joseph,Female,1967-01-03,66398.6,Yes
Christine,Male,1991-03-25,92348.97,Yes
Michael,Female,1975-12-24,47405.65,Yes
Steven,Male,1996-11-30,96322.05,No
Tiffany,Male,2001-03-11,54771.36,No
Jessica,Female,1983-04-06,90618.83,Yes
Brian,Female,2000-12-20,111191.44,Yes
Paul,Female,1998-10-19,93085.79,No
Jose,Male,1986-02-23,31478.77,No
Lisa,Female,1994-10-11,145885.34,No
Beth,Female,1998-11-24,149938.86,Yes
Brandon,Female,1992-11-12,65916.51,Yes
Charles,Female,1965-06-12,60745.06,Yes
Crystal,Female,1983-09-08,103197.6,Yes
Stephanie,Female,1972-04-07,57049.29,No
April,Female,1997-07-21,102593.6,No
Adriana,Male,2002-01-30,98763.24,Yes
Marie,Female,1976-02-27,113797.75,No
Walter,Male,1975-05-30,115098.43,No
Amy,Male,1965-12-27,119245.46,No
Karen,Female,1980-03-29,96525.17,No
Jacob,Male,1967-04-07,67149.95,Yes
Stacy,Male,1974-07-10,115123.91,Yes
Stephanie,Male,1988-01-03,51004.05,No
Ashley,Male,1968-09-16,61669.13,Yes
Diane,Male,1979-01-26,47707.2,No
Sara,Male,1992-12-04,55782.6,Yes
Jonathan,Male,2003-12-19,79696.11,No
Rebecca,Male,2001-01-28,126828.1,No
Juan,Male,1999-09-14,98503.58,No
Richard,Male,1987-01-23,116226.3,No
Aaron,Female,1983-04-05,69443.24,No
John,Male,1993-07-11,49891.56,Yes
Raymond,Male,1986-05-13,78970.92,No
Ryan,Female,1980-06-27,122372.6,No
Brian,Female,1960-05-31,39033.58,No
Rachel,Female,1979-09-23,135644.37,Yes
Anthony,Male,1978-10-16,96870.97,Yes
Timothy,Male,1966-09-23,71735.47,Yes
Kristen,Male,1960-02-19,36463.25,Yes
Dwayne,Female,1997-01-07,59220.93,Yes
Jason,Male,2001-10-18,56010.53,No
Beth,Male,1995-01-13,136613.98,No
Katherine,Female,1994-09-26,37314.42,Yes
Raymond,Female,1986-04-05,128414.27,Yes
Raymond,Female,1987-11-28,89005.24,Yes
Cheryl,Male,1959-09-02,96660.45,No
John,Male,1996-12-07,121193.25,No
Lisa,Male,1997-08-20,55959.06,Yes
Cole,Male,2001-05-25,111557.66,Yes
Shelley,Female,1993-11-30,50289.88,Yes
Dawn,Male,1980-05-20,116255.99,No
Chad,Male,1977-11-22,50254.93,No
Richard,Female,1964-05-04,46269.78,Yes
Robert,Female,1976-02-12,118022.4,No
Stacie,Female,1966-07-08,129568.76,Yes
Jacqueline,Male,1963-09-14,83727.47,No
Mary,Female,1974-08-06,76230.73,No
Jody,Male,2006-09-11,139205.91,No
Lisa,Female,1985-12-29,118844.95,No
Jennifer,Female,1978-10-25,129685.8,Yes
Cody,Male,2004-04-30,110747.21,No
Adrian,Female,1988-12-12,93415.86,Yes
Matthew,Female,1965-02-08,114128.87,No
Hannah,Female,2006-09-17,33907.51,Yes
Steven,Male,2000-12-31,134746.86,No
Ashley,Female,1963-07-29,38525.09,Yes
Douglas,Male,1984-07-12,69942.72,No
Pedro,Female,1977-08-06,145661.12,Yes
James,Female,2000-09-03,121431.18,Yes
Stacey,Female,1970-02-13,136241.52,No
Leslie,Female,1995-05-14,35886.48,No
Jose,Female,1968-04-15,67664.78,No
Bruce,Female,1981-05-19,40754.36,No
Lisa,Male,1976-05-20,82791.57,Yes
April,Male,1972-03-05,128473.65,Yes
Sheila,Female,1979-04-02,55968.29,Yes
Chad,Female,2001-09-19,34404.92,Yes
Isaiah,Male,2002-05-19,72982.36,No
Rebecca,Female,1968-09-16,31267.54,No
Andrea,Female,1969-02-24,79321.44,No
Brandy,Female,1962-03-28,115129.18,No
Scott,Male,2003-01-28,98785.28,No
Peter,Female,1985-02-05,30150.86,No
Michael,Female,1971-10-02,58942.47,Yes
Frances,Male,1964-06-28,73620.24,Yes
Kiara,Female,1959-11-21,46722.02,No
Sherry,Male,2001-08-14,148015.25,Yes
Kim,Female,2003-07-31,103656.74,Yes
Kelsey,Female,1996-03-27,133319.24,No
Jennifer,Female,1961-10-05,47943.64,No
Brandon,Female,1983-06-04,101372.48,Yes
Miguel,Female,1978-01-03,50169.69,No
Wanda,Male,1959-12-06,132255.41,Yes
Timothy,Male,1973-10-19,37082.43,Yes
Andrew,Male,1999-07-06,44939.82,No
Antonio,Male,1994-10-04,119515.22,Yes
John,Female,1996-06-22,109949.0,Yes
Crystal,Female,1985-07-01,63606.5,Yes
Stacie,Male,1981-02-23,109604.77,Yes
Tyler,Female,1991-11-16,139541.52,Yes
Brent,Female,1975-08-27,119251.37,No
Kelsey,Female,1998-04-04,53196.29,Yes
Charles,Male,1970-04-06,81554.17,No
Mikayla,Male,1985-09-18,139764.3,No
Thomas,Female,1979-05-10,42786.89,No
Alejandra,Male,1966-03-15,44222.7,Yes
Brandon,Female,1960-04-23,42987.1,Yes
Ashley,Male,1990-05-26,74996.03,No
Jennifer,Female,1988-09-22,81071.33,No
Scott,Female,1991-03-05,126993.25,Yes
Molly,Female,1996-12-16,133157.38,No
Jesus,Female,1992-11-14,124291.35,No
Susan,Female,1999-01-01,44079.61,Yes
Alejandro,Female,1963-05-20,49760.92,Yes
Heather,Female,2000-09-21,88734.97,Yes
Aaron,Female,2005-08-08,117473.2,Yes
Steven,Female,1964-01-23,55877.24,Yes
Katrina,Female,1977-08-23,143921.55,Yes
Laurie,Female,2007-03-30,117026.47,Yes
James,Male,1990-10-18,64652.33,Yes
